,Open,High,Low,Close,ma_diff,sar_diff,trend
10-05-2022 00:00,30273.654296875,30729.65234375,29944.802734375,30574.744140625,-1155.1830601190813,-239.9879687499997,Downtrend
10-05-2022 01:00,30593.005859375,31278.740234375,30593.005859375,31006.6328125,-997.4334724174441,-1343.5924999999988,Downtrend
10-05-2022 02:00,30985.236328125,31342.458984375,30856.107421875,31129.55859375,-841.3503296198724,0.0,Downtrend
10-05-2022 03:00,31119.958984375,31119.958984375,30729.46875,30755.751953125,-809.4969887282459,55.90625,Downtrend
10-05-2022 04:00,30740.20703125,31236.1796875,30686.078125,31236.1796875,-650.197989570097,53.669999999998254,Downtrend
10-05-2022 05:00,31222.73828125,31914.58984375,31222.73828125,31826.623046875,-392.88992071653047,51.52319999999963,Downtrend
10-05-2022 06:00,31819.39453125,32596.30859375,31819.39453125,32213.005859375,-133.21962475829787,108.52125956250165,Downtrend
10-05-2022 07:00,32206.255859375,32208.775390625,31775.607421875,31775.607421875,-76.50638771973536,190.5508119849983,Downtrend
10-05-2022 08:00,31766.115234375,31929.216796875,31648.099609375,31800.7265625,-33.888881493068766,175.30674702619945,Downtrend
10-05-2022 09:00,31802.435546875,31886.744140625,31472.3359375,31472.3359375,-85.29549062641308,161.2822072641029,Downtrend
10-05-2022 10:00,31478.724609375,31531.689453125,31388.73046875,31390.9453125,-132.97357857584575,148.3796306829754,Downtrend
10-05-2022 11:00,31388.57421875,31755.986328125,31349.265625,31666.185546875,-91.9770177711107,136.50926022833664,Downtrend
10-05-2022 12:00,31664.0625,32186.146484375,31585.0390625,32183.595703125,58.86386619511177,125.58851941007015,Uptrend
10-05-2022 13:00,32181.10546875,32242.150390625,31661.65234375,31798.50390625,56.290039293548034,115.5414378572641,Uptrend
10-05-2022 14:00,31808.7265625,32050.646484375,31041.962890625,31130.8046875,-106.02541756513165,1328.7265353585535,Downtrend
10-05-2022 15:00,31106.41796875,31453.908203125,30996.416015625,31282.61328125,-164.4191892992494,-31.0869140625,Downtrend
10-05-2022 16:00,31294.951171875,31390.7265625,31103.25390625,31200.587890625,-213.95102750040678,-62.752226562501164,Downtrend
10-05-2022 17:00,31190.548828125,31760.080078125,31190.548828125,31668.078125,-125.7280795800616,-60.24213750000126,Downtrend
10-05-2022 18:00,31667.13671875,31747.68359375,31506.1953125,31631.3671875,-77.26356977635805,-57.83245199999874,Downtrend
10-05-2022 19:00,31619.544921875,31651.44140625,31291.111328125,31388.423828125,-103.42185356257323,-55.519153919998644,Downtrend
10-05-2022 20:00,31392.576171875,31392.576171875,30997.859375,31002.318359375,-207.84650607052754,-53.29838776319957,Downtrend
10-05-2022 21:00,30998.126953125,31113.79296875,30384.548828125,30384.548828125,-411.3224862595962,-51.16645225267348,Downtrend
10-05-2022 22:00,30382.63671875,30848.734375,30320.798828125,30848.734375,-410.4758048554759,-110.39172249384865,Downtrend
10-05-2022 23:00,30812.994140625,31177.826171875,30773.228515625,31010.990234375,-358.3017827333679,-143.45762552562155,Downtrend
11-05-2022 00:00,31016.18359375,31304.05078125,30872.2890625,31096.6875,-295.05296701143743,-131.98101548357226,Downtrend
11-05-2022 01:00,31094.96484375,31094.96484375,30804.58203125,30860.91015625,-303.6735896272112,-121.42253424488808,Downtrend
11-05-2022 02:00,30844.251953125,31438.876953125,30719.361328125,31417.984375,-166.59618008586403,-111.70873150529587,Downtrend
11-05-2022 03:00,31437.5234375,31579.220703125,31218.634765625,31240.228515625,-120.94862402049694,-1284.6504123109007,Downtrend
11-05-2022 04:00,31231.6328125,31348.888671875,31129.6640625,31237.875,-90.13589951018002,25.168437500000437,Downtrend
11-05-2022 05:00,31221.828125,31732.447265625,31114.6015625,31448.08984375,-18.63783622982737,24.6650687500005,Downtrend
11-05-2022 06:00,31458.595703125,31471.517578125,30620.966796875,30620.966796875,-171.85440172207745,54.472597249998216,Downtrend
11-05-2022 07:00,30579.18359375,30705.921875,30322.17578125,30446.466796875,-300.3626665674965,1307.3423340000008,Downtrend
11-05-2022 08:00,30455.015625,31167.39453125,30455.015625,31167.39453125,-196.6908049066369,-28.205429687499418,Downtrend
11-05-2022 09:00,31197.576171875,31657.888671875,31129.681640625,31657.888671875,-11.130099155830976,-27.641321093749866,Downtrend
11-05-2022 10:00,31668.4609375,32013.40234375,31610.572265625,31886.1875,155.50560622063495,-1354.4247335937507,Uptrend
11-05-2022 11:00,31868.296875,31868.296875,31502.126953125,31502.126953125,159.63635842284566,33.82453125000029,Uptrend
11-05-2022 12:00,31500.94140625,31692.171875,29367.916015625,29367.916015625,-351.0853589686085,1657.4020312499997,Downtrend
11-05-2022 13:00,29382.705078125,31311.060546875,29323.23046875,31028.9140625,-252.5184357910366,-52.90972656249869,Downtrend
11-05-2022 14:00,31004.783203125,31724.62109375,30852.79296875,31540.064453125,-63.34643877984854,-105.4904859374983,Downtrend
11-05-2022 15:00,31600.720703125,31708.662109375,30888.966796875,30916.451171875,-95.71104917294724,-101.2708664999991,Downtrend
11-05-2022 16:00,30951.1015625,31068.64453125,30277.509765625,30277.509765625,-264.32302044821336,-29.110171000003902,Downtrend
11-05-2022 17:00,30336.630859375,30336.630859375,29570.349609375,29832.3984375,-463.6131599631117,-15.958984375,Downtrend
11-05-2022 18:00,29838.40234375,30154.96875,29813.322265625,29858.328125,-562.9282975685092,-95.41726562500116,Downtrend
11-05-2022 19:00,29887.736328125,29956.939453125,29296.986328125,29387.359375,-717.0973433441941,-91.60057500000039,Downtrend
11-05-2022 20:00,29378.609375,29480.75390625,28494.85546875,28500.80078125,-998.408580789237,-133.47947643750013,Downtrend
11-05-2022 21:00,28506.791015625,29068.12109375,28170.412109375,28903.681640625,-1040.4688501655546,-231.46474588500132,Downtrend
11-05-2022 22:00,28952.107421875,29141.181640625,28594.466796875,28876.376953125,-1039.3088953793485,-298.62879370525116,Downtrend
11-05-2022 23:00,28878.71875,28963.2421875,28670.60546875,28912.046875,-997.1224683831679,-268.76591433472277,Downtrend
12-05-2022 00:00,28936.734375,30032.439453125,28936.734375,29905.279296875,-703.5380955141773,-241.88932290125376,Downtrend
12-05-2022 01:00,29896.833984375,29927.671875,29286.462890625,29286.462890625,-651.4581547792586,-217.70039061112766,Downtrend
12-05-2022 02:00,29260.1015625,29314.30078125,28779.615234375,28801.76171875,-714.7686868529017,-97.27617175014166,Downtrend
12-05-2022 03:00,28793.291015625,28881.958984375,28425.4296875,28425.4296875,-819.8677870726278,-104.767578125,Downtrend
12-05-2022 04:00,28433.470703125,28433.470703125,27382.326171875,27638.755859375,-1044.5366387564281,-175.72597656249854,Downtrend
12-05-2022 05:00,27653.6953125,27693.544921875,26766.7890625,26782.150390625,-1350.8449739583557,-284.35436718750134,Downtrend
12-05-2022 06:00,26818.333984375,27470.744140625,26759.84765625,26759.84765625,-1498.0285899167939,-378.11234562499885,Downtrend
12-05-2022 07:00,26751.498046875,28216.359375,26350.490234375,27966.919921875,-1251.8513874122254,-372.7410447000002,Downtrend
12-05-2022 08:00,27938.609375,27984.880859375,27352.44921875,27804.671875,-1102.2527244459852,-425.92462317899844,Downtrend
12-05-2022 09:00,27800.017578125,28130.42578125,27696.44140625,27798.595703125,-978.4731678827447,-74.45414274600262,Downtrend
12-05-2022 10:00,27810.220703125,28517.423828125,27608.849609375,28413.841796875,-726.262677542767,-1865.869140625,Downtrend
12-05-2022 11:00,28429.80078125,28955.552734375,28288.681640625,28310.15234375,-575.7677221280101,43.33867187500073,Downtrend
12-05-2022 12:00,28330.6875,28488.34375,27958.2265625,28411.1875,-442.6586571475855,102.46895312500055,Downtrend
12-05-2022 13:00,28411.00390625,28595.55078125,27949.6015625,28207.548828125,-396.8033919820882,98.37019499999951,Downtrend
12-05-2022 14:00,28169.794921875,29400.7421875,28019.8203125,29400.7421875,-72.45407053957751,94.43538719999924,Downtrend
12-05-2022 15:00,29408.537109375,29649.58203125,29085.171875,29085.171875,50.34954324446153,162.69832475549993,Uptrend
12-05-2022 16:00,29067.603515625,29761.673828125,28962.896484375,29695.546875,268.15054701120243,223.82242119355942,Uptrend
12-05-2022 17:00,29668.107421875,29680.96875,28662.541015625,28670.439453125,146.93666956658126,268.60496406009406,Uptrend
12-05-2022 18:00,28666.5625,28707.81640625,28213.314453125,28267.072265625,-26.880925584671786,241.74446765408356,Downtrend
12-05-2022 19:00,28276.91015625,28710.650390625,28276.91015625,28682.978515625,-31.844624228768225,217.5700208886774,Downtrend
12-05-2022 20:00,28687.6015625,28800.52734375,28519.837890625,28614.220703125,-50.198568475090724,195.81301879980674,Downtrend
12-05-2022 21:00,28613.802734375,28613.802734375,28031.779296875,28399.220703125,-110.8660723546127,1762.3171691982789,Downtrend
12-05-2022 22:00,28400.669921875,28645.552734375,28369.6484375,28596.6953125,-96.92184794330387,-34.5978906249984,Downtrend
